ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,class,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district,mean_ndvi,mean_z_score
0.0052499999999999,-0.0079999999999999,0.08025,0.1545,0.1415,953,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.07469999999999999,0.030213459352926852
0.04225,0.193,0.0975,-0.01,-0.0105,619,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06244999999999999,-0.12251778977515904
0.022,0.1205,0.0395,0.0875,0.045,619,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06289999999999998,-0.12744049447580202
0.04575,0.115,0.0775,0.065,0.0995,658,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.08055000000000001,0.06304955420540824
0.0595,0.2085,0.1505,0.0032499999999999,0.00375,722,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.08509999999999998,0.1271990336003029
0.0255,0.2457499999999999,0.106,-0.0015,-0.03475,742,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.06819999999999998,-0.08387409840302629
0.04875,0.20725,0.1795,0.0115,-0.0137499999999999,728,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.08665000000000003,0.15443957473395847
0.067,0.13125,0.07875,0.06,0.05125,645,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.07765000000000001,0.05215558581718184
-0.00925,0.00675,0.0655,0.12175,0.16225,652,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06939999999999999,-0.05200555012239096
0.0175,0.13725,0.14575,0.122,0.012,649,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0869,0.15951260785658578
0.01875,0.1372499999999999,0.134,0.103,0.0272499999999999,649,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.08404999999999996,0.12065030722332148
0.044,0.15925,0.0925,0.01475,-0.01675,773,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.05874999999999999,-0.1429480391369572
0.0004999999999999,0.02,0.04825,0.08525,0.15375,680,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06154999999999998,-0.13941353165974177
0.00675,0.031,0.0849999999999999,0.156,0.166,666,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.08894999999999997,0.15439067302824014
0.0067499999999999,0.0284999999999999,0.1005,0.1105,0.1145,666,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.07214999999999996,0.0013218318309086373
0.077,0.23825,0.08,0.0155,-0.01525,740,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0791,0.0434961622503542
0.11925,0.157,0.05175,-0.00925,-0.0115,696,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.061450000000000005,-0.0935991614986571
0.0,0.01975,0.0505,0.10725,0.17825,665,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.07115,-0.04630015325555459
0.1085,0.148,0.07875,0.0185,-0.0095,918,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06885,-0.00833040765447195
0.13675,0.1815,0.0289999999999999,0.0094999999999999,-0.0105,682,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.06924999999999996,-0.02229716733776852
-0.00475,0.01525,0.10775,0.143,0.135,683,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.07925,0.07258890410087675
-0.002,0.034,0.086,0.114,0.11775,686,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.06995,-0.0339961092815516
