,ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,class,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district
87,-0.013,0.049,-0.00425,-0.03325,-0.04674999999999999,610,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
90,0.0,0.03225,0.016999999999999998,-0.00625,-0.0052499999999999995,706,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
93,-0.0024999999999999953,0.10475000000000001,0.151,-0.024,-0.03225,752,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
96,0.011750000000000002,0.09250000000000001,0.03975,-0.0335,-0.039,750,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
99,0.010250000000000002,0.1275,0.0675,0.056999999999999995,0.002250000000000002,757,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
102,0.0,0.0075,0.0085,-0.0005000000000000004,-0.0025,766,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
105,-0.0002500000000000002,0.061000000000000006,0.026249999999999996,-0.0285,-0.03200000000000001,638,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
108,-0.002749999999999999,0.009500000000000001,0.046250000000000006,0.019249999999999996,-0.0027499999999999955,682,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
110,-0.0005000000000000004,-0.010249999999999999,-0.006500000000000006,-0.019000000000000003,-0.028250000000000004,605,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
113,-0.002999999999999999,0.02625,0.0014999999999999996,-0.0175,-0.01975,621,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
115,-0.0065,0.026250000000000002,-0.0029999999999999975,-0.018000000000000002,-0.02075,622,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
116,0.0024999999999999988,0.183,0.15,0.049199999999999994,-0.008875000000000001,687,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
117,-0.0226,0.05933333333333333,0.0538,0.080625,0.088,687,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
118,0.1775,0.46080000000000004,0.0844,0.265,0.089,686,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
119,-0.0182,-0.011,-0.010799999999999999,0.093375,0.29575,686,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
120,-0.02275,-0.0306,-0.0466,-0.04820000000000001,0.0036249999999999963,606,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
121,-0.0126,0.076,-0.028199999999999996,-0.0475,-0.051500000000000004,606,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
122,0.0328,0.16549999999999998,-0.016599999999999997,-0.053200000000000004,-0.05339999999999999,606,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
123,0.08600000000000001,0.2036,0.11240000000000001,0.11000000000000001,0.12225,711,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
124,0.005999999999999998,0.0626,0.0264,0.044,0.018749999999999996,711,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
125,0.031166666666666665,0.11575000000000002,0.040999999999999995,0.061,0.051333333333333335,711,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
126,-0.004749999999999997,0.1232,-0.004999999999999993,-0.05783333333333334,-0.043125,599,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
127,-0.036000000000000004,0.007999999999999997,-0.0382,-0.047875,-0.05274999999999999,599,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
128,0.08800000000000001,0.2886,0.127,-0.021200000000000007,-0.021375,724,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
129,-0.0021666666666666687,-0.016,0.0192,0.13075,0.22250000000000003,724,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
130,-0.016599999999999997,0.014749999999999997,0.030400000000000003,0.079,0.12020000000000002,724,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
131,0.09925,0.258,0.1044,-0.030000000000000006,-0.024375,723,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
132,-0.009200000000000003,0.0412,0.05900000000000001,0.007374999999999998,-0.013500000000000002,723,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
