ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district,target
0.04575,0.11500000000000002,0.0775,0.065,0.0995,658,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,2
-0.0022499999999999994,0.00225,0.00575,0.01125,0.02325,868,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,3
-0.012000000000000004,0.032,0.14450000000000002,0.20125,0.32025000000000003,703,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4
-0.011500000000000002,0.020999999999999998,0.0925,0.16874999999999998,0.16999999999999998,703,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4
0.08675000000000001,0.30774999999999997,0.057999999999999996,0.0955,0.25875,729,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1
0.0,0.008500000000000004,0.061,-0.009750000000000002,-0.02525,707,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3
0.005499999999999996,0.04375,0.13799999999999998,0.18575,0.10075,636,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5
-0.0007499999999999998,0.00875,0.035750000000000004,0.010000000000000002,0.048,763,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
-0.014500000000000002,0.0495,0.09625,0.1525,0.187,791,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6
0.23400000000000004,0.23475000000000001,0.175,0.07975,0.021500000000000002,687,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
0.065,0.28475000000000006,0.187,0.06999999999999999,0.032,630,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,5
0.028499999999999998,0.198,0.153,0.21825,0.14425,1144,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
-0.018500000000000003,0.0525,0.15375000000000003,0.044000000000000004,0.06999999999999999,1083,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,2
-0.005000000000000001,-0.006499999999999997,0.02025,0.036000000000000004,0.11000000000000001,646,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2
-0.008499999999999994,0.18319999999999997,-0.0134,-0.0886,-0.04375,605,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3
-0.0002500000000000002,0.0462,0.0862,0.1795,0.39587500000000003,717,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2
-0.015499999999999998,-0.01025,0.017499999999999995,0.06874999999999999,0.08075,625,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3
-0.0010000000000000009,0.059,0.116,0.04000000000000001,-0.009000000000000008,663,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,5
0.14125000000000001,0.2565,0.14625,0.0745,0.18225000000000002,627,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0.08625,0.11775000000000001,0.06875,0.0017500000000000016,0.0022500000000000003,687,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2
